epoch,total_loss,supplier_loss,affordability_penalty,timestamp
179,-0.7340,-0.7683,0.0067,2026-02-28T21:30:57.738272
180,-0.7253,-0.7591,0.0073,2026-02-28T21:30:57.749757
181,-0.7016,-0.7425,0.0136,2026-02-28T21:30:57.768439
182,-0.7178,-0.7527,0.0092,2026-02-28T21:30:57.778626
183,-0.7145,-0.7546,0.0140,2026-02-28T21:30:57.788703
184,-0.7140,-0.7540,0.0128,2026-02-28T21:30:57.800616
185,-0.7168,-0.7652,0.0187,2026-02-28T21:30:57.813731
186,-0.7234,-0.7636,0.0124,2026-02-28T21:30:57.826655
187,-0.7284,-0.7561,0.0028,2026-02-28T21:30:57.835073
188,-0.7178,-0.7472,0.0034,2026-02-28T21:30:57.858978
189,-0.7305,-0.7722,0.0120,2026-02-28T21:30:57.876796
190,-0.7258,-0.7640,0.0110,2026-02-28T21:30:57.886937
191,-0.7110,-0.7413,0.0076,2026-02-28T21:30:57.912739
192,-0.7191,-0.7533,0.0109,2026-02-28T21:30:57.925705
193,-0.7098,-0.7444,0.0119,2026-02-28T21:30:57.938658
194,-0.7056,-0.7410,0.0112,2026-02-28T21:30:57.949843
195,-0.7153,-0.7528,0.0103,2026-02-28T21:30:57.960518
196,-0.7180,-0.7563,0.0091,2026-02-28T21:30:57.971577
197,-0.7251,-0.7641,0.0090,2026-02-28T21:30:57.982607
198,-0.7049,-0.7715,0.0276,2026-02-28T21:30:57.997334
199,-0.7187,-0.7534,0.0061,2026-02-28T21:30:58.007517
200,-0.7138,-0.7555,0.0143,2026-02-28T21:30:58.017533
